债券代码,债券简称,票面利率(%),发行起始日,主承销商,发行人省份,发行人,发行人行业,募集资金用途,债券类型,上市地点,债项评级
012000517.IB,20苏新国资(疫情防控债)SCP001,2.77,2020-02-24,"中国银行股份有限公司,浙商银行股份有限公司",江苏省,苏州高新国有资产经营管理集团有限公司,工业,"本期超短期融资券拟发行金额为2亿元,其中,1.8亿元用于偿还金融机构借款,剩余0.2亿元用于补充发行人及子公司的流动资金以支持区内受到新型冠状病毒感染的肺炎疫情影响,生产经营遇到困难的中小企业房租减免",超短期融资债券,银行间,
012000519.IB,20中国旅游(疫情防控债)SCP002,2.5,2020-02-24,中国工商银行股份有限公司,海南省,中国旅游集团有限公司,可选消费,"发行人本次发行5亿元超短期融资券(疫情防控债),其中4.5亿元用于补充营运资金,0.5亿元用于支持疫情防控支出.",超短期融资债券,银行间,
112003004.IB,20农业银行(防疫专项)CD004,2.2,2020-02-24,,北京,中国农业银行股份有限公司,金融,,同业存单,银行间,
112092862.IB,20厦门国际银行(防疫专项)CD038,2.79,2020-02-24,,福建省,厦门国际银行股份有限公司,金融,,同业存单,银行间,
012000554.IB,20宿迁城投(疫情防控债)SCP001,2.9,2020-02-24,中国建设银行股份有限公司,江苏省,宿迁市城市建设投资(集团)有限公司,工业,"本期超短期融资券发行金额为6亿元,其中0.6亿元计划用于置换国开行给发行人提供的防疫专项流动资金贷款,5.4亿元计划用于偿还其他存量债务.",超短期融资债券,银行间,
112092860.IB,20赣州银行(防疫专项)CD042,2.95,2020-02-24,,江西省,赣州银行股份有限公司,金融,,同业存单,银行间,
166132.SH,20中金F1,3.2,2020-02-24,"中信证券股份有限公司,华泰联合证券有限责任公司",北京,中国国际金融股份有限公司,金融,本期债券募集资金拟不超过90%用于偿还到期或回售的公司债券，不低于10%用于支持疫情防护防控相关业务，包括但不限于补充为疫区或因疫情受损的客户提供股权质押业务的资金；为疫区或因疫情受损的客户提供两融业务的资金；利用股权质押或者两融等业务为参与疫情防控的企业提供相应的资金支持；补充投资疫区或因疫情受损或参与疫情防控的企业发行的疫情防控类金融产品等业务的资金；补充发行人自身受疫情影响的业务板块的营运资金；补充或置换前期为疫情防控捐赠资金、捐赠物资采购等支出的营运资金。具体用于补充支持疫情防护防控相关业务的资金规模，将根据疫情发展情况进行适当调整。,证券公司债,上海,
112092863.IB,20浙江台州路桥农商银行(防疫专项)CD003,2.52,2020-02-24,,浙江省,浙江台州路桥农村商业银行股份有限公司,金融,,同业存单,银行间,
112092861.IB,20四川天府银行(防疫专项)CD030,2.8,2020-02-24,,四川省,四川天府银行股份有限公司,金融,,同业存单,银行间,
112092858.IB,20鹿城农商银行(防疫专项)CD008,2.55,2020-02-24,,浙江省,浙江温州鹿城农村商业银行股份有限公司,金融,,同业存单,银行间,
112092867.IB,20青岛银行(防疫专项)CD031,2.65,2020-02-24,,山东省,青岛银行股份有限公司,金融,,同业存单,银行间,
112092866.IB,20湖北银行(防疫专项)CD002,2.7,2020-02-24,,湖北省,湖北银行股份有限公司,金融,,同业存单,银行间,
112092864.IB,20中原银行(防疫专项)CD040,2.5,2020-02-24,,河南省,中原银行股份有限公司,金融,,同业存单,银行间,
112092859.IB,20温州银行(防疫专项)CD044,2.8,2020-02-24,,浙江省,温州银行股份有限公司,金融,,同业存单,银行间,
112092865.IB,20贵阳银行(防疫专项)CD014,2.5,2020-02-24,,贵州省,贵阳银行股份有限公司,金融,,同业存单,银行间,
163166.SH,20三友01,3.5,2020-02-21,财达证券股份有限公司,河北省,唐山三友化工股份有限公司,材料,本期公司债券募集资金扣除发行费用后，拟将3亿元用于偿还公司及下属子公司到期债务；剩余募集资金用于补充公司流动资金，其中不低于募集资金总额的10%用于支持疫情防护防控相关业务，包括但不限于生产抗击新型冠状病毒肺炎疫情相关产品所需原料。,一般公司债,上海,AA+
200301Z2.IB,20进出01(增2),1.61,2020-02-21,,北京,中国进出口银行,金融,"本期债券所筹资金主要用于中国进出口银行向疫情防控相关领域的信贷投放,包括支持重点企业防疫物资的原料采购,生产与备货及医疗设施建设等领域",政策银行债,银行间,
112092709.IB,20南京银行(防疫专项)CD007,2.7,2020-02-21,,江苏省,南京银行股份有限公司,金融,,同业存单,银行间,
012000496.IB,20中冶(疫情防控债)SCP001,1.95,2020-02-21,上海银行股份有限公司,北京,中国冶金科工股份有限公司,工业,"本期超短期融资券发行20.00亿元,募集资金中2.00亿元用于补充下属子公司疫情防控的流动资金,18.00亿元用于偿还发行人本部到期的信用债.",超短期融资债券,银行间,
012000493.IB,20夏商(疫情防控债)SCP003,2.73,2020-02-21,兴业银行股份有限公司,福建省,厦门夏商集团有限公司,日常消费,"拟将本期5亿元募集资金中0.65亿元用于支持疫情防控,4.35亿元用于偿还有息债务,其中,1.5亿元用于偿还即将到期银行流动资金贷款,2.85亿元用于偿还20夏商SCP001.",超短期融资债券,银行间,
012000494.IB,20天士力医(疫情防控债)SCP001,2.96,2020-02-21,中国农业银行股份有限公司,天津,天士力医药集团股份有限公司,医疗保健,"本期超短期融资券发行规模为2亿元,期限270天,募集资金用途为0.2亿元用于补充发行人本部及下属子公司与疫情防控相关的流动资金,1亿元用于发行人本部偿还银行贷款,0.8亿元用于发行人本部补充营运资金.",超短期融资债券,银行间,
012000495.IB,20威高(疫情防控债)SCP002,3.99,2020-02-21,中国光大银行股份有限公司,山东省,威高集团有限公司,医疗保健,"发行人本期募集资金5亿元用途为偿还有息债务及补充流动资金,其中4亿元用于偿还发行人本部金融机构借款,1亿元用于补充与抗击新型冠状病毒肺炎疫情相关的流动资金.",超短期融资债券,银行间,
012000492.IB,20鄂交投(疫情防控债)SCP003,2.1,2020-02-21,华夏银行股份有限公司,湖北省,湖北省交通投资集团有限公司,工业,"发行人本期发行20亿元超短期融资券,将用于抗疫专项用途2亿元和偿还到期债务融资工具18亿元.",超短期融资债券,银行间,
012000515.IB,20上海环境(疫情防控债)SCP001,2,2020-02-21,招商银行股份有限公司,上海,上海环境集团股份有限公司,工业,"本期超短期融资券的发行金额为4亿元,拟用于补充发行人下属子公司的营运资金,其中0.4亿元拟用于补充新型冠状病毒肺炎疫情(以下简称“本次疫情”)期间上海环境集团再生能源运营管理有限公司老港分公司和上海天马再生能源有限公司等主要承担本次疫情防控任务子公司的流动资金,具体用于满足城市尤其是隔离区的生活垃圾以及医疗废物收运处置产生的资金需求;其余3.6亿元拟用于补充上海东石塘再生能源有限公司,上海市环境工程设计科学研究院有限公司和上海友联竹园第一污水处理投资发展有限公司日常经营所需流动资金.",超短期融资债券,银行间,
112008017.IB,20中信银行(防疫专项)CD017,2.6,2020-02-21,,北京,中信银行股份有限公司,金融,,同业存单,银行间,
166131.SH,20平证D1,2.86,2020-02-21,平安证券股份有限公司,广东省,平安证券股份有限公司,金融,本期发行募集资金拟全部用于补充公司营运资金，其中不低于10%用于支持疫情防护防控相关业务，包括但不限于为疫区或受疫情影响的客户提供两融业务的资金；为疫区或受疫情影响的客户提供股权质押业务的资金；利用两融或者股权质押等业务为参与疫情防控的企业，如疫区医院等基础设施施工、抗疫药物研发、医疗器械制造、物资仓储运输等提供相应的资金支持；投资疫区或受疫情影响或参与疫情防控的企业发行的疫情防控类金融产品；补充发行人自身受疫情影响的业务板块的营运资金；补充或置换前期为疫情防护防控捐赠资金、捐赠物资采购等支出的营运资金，置换比例不高于本期发行募集资金的0.80%（平安证券已为疫情防护防控捐赠800万元）。,证券公司债,上海,A-1
112092711.IB,20晋商银行(防疫专项)CD001,2.95,2020-02-21,,山西省,晋商银行股份有限公司,金融,,同业存单,银行间,
112092710.IB,20义乌农商行(防疫专项)CD005,2.6,2020-02-21,,浙江省,浙江义乌农村商业银行股份有限公司,金融,,同业存单,银行间,
032000110.IB,20康缘集(疫情防控债)PPN001,5,2020-02-21,,江苏省,江苏康缘集团有限责任公司,医疗保健,,定向工具,银行间,
114669.SZ,20寿光G1,6,2020-02-21,华西证券股份有限公司,山东省,寿光市惠农新农村建设投资开发有限公司,工业,本期债券募集资金5亿元将全部用于高标准绿色蔬菜大棚的建设。,私募债,深圳,
112012015.IB,20北京银行(防疫专项)CD015,2.25,2020-02-21,,北京,北京银行股份有限公司,金融,,同业存单,银行间,
032000111.IB,20京东(疫情防控债)PPN001,2.65,2020-02-21,,北京,北京京东世纪贸易有限公司,信息技术,,定向工具,银行间,
112092713.IB,20齐鲁银行(防疫专项)CD002,2.55,2020-02-21,,山东省,齐鲁银行股份有限公司,金融,,同业存单,银行间,
114667.SZ,20福汽01,4.99,2020-02-21,国信证券股份有限公司,福建省,福建省汽车工业集团有限公司,可选消费,"本期债券募集资金扣除发行费用后,发行人将5.3亿元用于偿还公司借款,0.7亿元用于补充与抗击新型冠状病毒肺炎疫情相关的流动资金.",私募债,深圳,
149043.SZ,20华股01,3.05,2020-02-21,长城证券股份有限公司,四川省,华西证券股份有限公司,金融,本期债券募集资金在扣除发行费用后，拟全部用于补充公司营运资金，其中不低于10%用于支持疫情防护防控相关业务，包括但不限于补充为疫区或因疫情受损的客户提供股权质押业务的资金；为疫区或因疫情受损的客户提供两融业务的资金；利用股权质押或者两融等业务为参与疫情防控的企业，如医药研发、医疗器械制造、物资运输仓储、疫区建设施工等提供相应的资金支持；补充投资疫区或因疫情受损或参与疫情防控的企业发行的疫情防控类金融产品等业务的资金；补充发行人自身受疫情影响的业务板块的营运资金；补充或置换前期为疫情防控捐赠资金、捐赠物资采购等支出的营运资金。具体用于补充支持疫情防护防控相关业务的资金规模，将根据疫情发展情况进行适当调整。,证券公司债,深圳,AAA
112092712.IB,20重庆农村商行(防疫专项)CD001,2.3,2020-02-21,,重庆,重庆农村商业银行股份有限公司,金融,,同业存单,银行间,
112092714.IB,20海安农村商业银行(防疫专项)CD001,2.85,2020-02-21,,江苏省,江苏海安农村商业银行股份有限公司,金融,,同业存单,银行间,
166087.SH,20锡山01,4.15,2020-02-21,中山证券有限责任公司,江苏省,无锡锡山资产经营管理有限公司,工业,"本期债券发行规模为不超过100,000.00万元（含100,000.00万元），本期债券募集资金扣除发行费用后，拟用于偿还债务和补充营运资金（包含用于补充新型冠状病毒疫情防控支出、减免商户租金等过程中流动性资金需求）。其中36,000.00万元拟用于偿还债务，剩余募集资金拟用于补充营运资金。",私募债,上海,
112009067.IB,20浦发银行(防疫专项)CD067,2.2,2020-02-20,,上海,上海浦东发展银行股份有限公司,金融,,同业存单,银行间,
112092553.IB,20湖南炎陵农商行(防疫专项)CD002,3.1,2020-02-20,,湖南省,湖南炎陵农村商业银行股份有限公司,金融,,同业存单,银行间,
112020012.IB,20广发银行(防疫专项)CD012,2.5,2020-02-20,,广东省,广发银行股份有限公司,金融,,同业存单,银行间,
012000467.IB,20铸管股份(疫情防控债)SCP001,2.89,2020-02-20,"国泰君安证券股份有限公司,中国银行股份有限公司",河北省,新兴铸管股份有限公司,材料,"本期超短期融资券是发行人本次债券的第一期发行,发行规模为6亿元,其中3亿元用于补充公司流动资金(其中0.6亿元用于补充发行人疫情防控的流动资金),3亿元用于偿还发行人有息债务.",超短期融资债券,银行间,
012000489.IB,20天富(疫情防控债)SCP002,4.4,2020-02-20,北京银行股份有限公司,新疆维吾尔自治区,新疆天富集团有限责任公司,公用事业,"本期超短期融资券发行规模为3亿元,发行人将根据本次发行结果将募集资金2.7亿元用于归还本部有息债务,3000万元用于期间补充运输板块的营运资金,保障抗击疫情期间能源物资供应.",超短期融资债券,银行间,
112092555.IB,20上海农商银行(防疫专项)CD018,2.5,2020-02-20,,上海,上海农村商业银行股份有限公司,金融,,同业存单,银行间,
112092551.IB,20江苏江南农村商业银行(防疫专项)CD010,2.57,2020-02-20,,江苏省,江苏江南农村商业银行股份有限公司,金融,,同业存单,银行间,
163161.SH,20财金01,3.59,2020-02-20,海通证券股份有限公司,山东省,山东省财金投资集团有限公司,金融,"本期债券募集资金扣除发行费用后,10亿元拟用于新型冠状病毒肺炎疫情防控,剩余额度拟用于偿还金融机构借款.",一般公司债,上海,AAA
012000471.IB,20中电建设(疫情防控债)SCP001,2.3,2020-02-20,中国光大银行股份有限公司,北京,中国电力建设股份有限公司,工业,"本期超短期融资券发行金额为35亿元,其中30亿元用于置换发行人2020年2月25日到期的“19中电建设SCP002”;1.5亿元用于补充发行人流动性资金;3.5亿元用于抗击新型冠状病毒肺炎疫情相关的流动性资金缺口,包括但不限于支持湖北,宁夏,四川,上海,贵州等地区的疫情防控相关施工建设,采购相关疫情防控物资,抢修防疫相关供电系统,疫情区项目施工人员的疫情防护导致的资金不足.",超短期融资债券,银行间,
012000445.IB,20中储发展(疫情防控债)SCP001,3.09,2020-02-20,中国银河证券股份有限公司,天津,中储发展股份有限公司,工业,"本期超短期融资券计划发行基础规模5亿元,上限10亿元,期限270天,其中5亿元用于偿还金融机构借款,4亿元用于补充下属子公司非疫情防控相关营运资金,1亿元用于补充下属子公司支持疫情防控相关营运资金",超短期融资债券,银行间,
012000469.IB,20顺丰泰森(疫情防控债)SCP001,2.5,2020-02-20,中国工商银行股份有限公司,广东省,深圳顺丰泰森控股(集团)有限公司,工业,"发行人本期超短期融资券发行规模不超过人民币5亿元,募集资金中3亿元用于偿还存量银行借款(渣打银行),2亿元用于补充发行人及子公司疫情防控工作开展的流动资金需求.",超短期融资债券,银行间,
012000470.IB,20国电江苏(疫情防控债)SCP001,2.78,2020-02-20,交通银行股份有限公司,江苏省,国家能源集团江苏电力有限公司,公用事业,"公司本期超短期融资券(疫情防控债)发行金额8.5亿元,其中7.5亿元用于偿还发行人及其分支机构和子公司的债务,1亿元将用于发行人及其分支机构和子公司补充营运资金,以支持此次抗击新型冠状病毒肺炎疫情的相关工作.",超短期融资债券,银行间,
012000491.IB,20中煤矿山(疫情防控债)SCP002,4.9,2020-02-20,中信银行股份有限公司,安徽省,中煤矿山建设集团有限责任公司,工业,"发行人本期拟发行1.5亿元超短期融资券,其中0.15亿元用于补充抗击新型冠状病毒疫情的相关流动资金,1.35亿元用于偿还发行人子公司有息债务",超短期融资债券,银行间,
012000468.IB,20三一(疫情防控债)SCP001,2.5,2020-02-20,中国农业银行股份有限公司,湖南省,三一集团有限公司,工业,"根据发行人资金需求,本期超短期融资券发行金额10亿元,其中:募集资金9亿元,用于偿还公司本部有息债务;募集资金1亿元,用于疫情防控所需工程机械生产的经营周转,补充抗击新型冠状病毒疫情建设所需工程机械生产相关的流动资金.",超短期融资债券,银行间,
012000490.IB,20苏州高新(疫情防控债)SCP002,2.75,2020-02-20,江苏银行股份有限公司,江苏省,苏州苏高新集团有限公司,房地产,"本期2亿元超短期融资券募集资金用途为归还发行人金融机构借款和疫情防控保障,其中1.8亿元用于归还发行人金融机构借款(建设银行);0.2亿元用于补充发行人子公司因支持疫情防控减免园区内中小企业租金形成的营运资金缺口.",超短期融资债券,银行间,
166113.SH,20太经02,3.7,2020-02-20,东吴证券股份有限公司,江苏省,太仓市资产经营集团有限公司,工业,"本期债券扣除发行费用后,拟用于支持疫情防护防控相关业务和偿还有息负债.其中,不低于本期债券募集资金中1,000万元用于支持疫情防护防控相关业务,包括但不限于(1)置换采购太仓市应急物资所支付的不少于1,000万元运营资金;(2)补充公司对下属园区,房产租户租金减免所造成的流动性需求;(3)以及根据疫情发展情况用于支持疫情防护防控相关业务的进一步支出等.",私募债,上海,
042000053.IB,20平煤化(疫情防控债)CP002,6,2020-02-20,"华夏银行股份有限公司,海通证券股份有限公司",河南省,中国平煤神马能源化工集团有限责任公司,工业,"本期短期融资券发行金额5亿元,其中4.50亿元用于兑付本部已发行债券15平煤化PPN001,0.50亿元用于补充子公司中国平煤神马集团开封东大化工有限公司生产疫情防控产品的流动资金.",一般短期融资券,银行间,A-1
112092556.IB,20昆仑银行(防疫专项)CD011,2.65,2020-02-20,,新疆维吾尔自治区,昆仑银行股份有限公司,金融,,同业存单,银行间,
112092554.IB,20富滇银行(防疫专项)CD024,3.25,2020-02-20,,云南省,富滇银行股份有限公司,金融,,同业存单,银行间,
112016049.IB,20上海银行(防疫专项)CD049,2.45,2020-02-20,,上海,上海银行股份有限公司,金融,,同业存单,银行间,
112092558.IB,20江苏紫金农商行(防疫专项)CD003,2.8,2020-02-20,,江苏省,江苏紫金农村商业银行股份有限公司,金融,,同业存单,银行间,
112092557.IB,20徽商银行(防疫专项)CD006,2.48,2020-02-20,,安徽省,徽商银行股份有限公司,金融,,同业存单,银行间,
112013002.IB,20浙商银行(防疫专项)CD002,2.5,2020-02-20,,浙江省,浙商银行股份有限公司,金融,,同业存单,银行间,
112092564.IB,20长沙银行(防疫专项)CD024,2.8,2020-02-20,,湖南省,长沙银行股份有限公司,金融,,同业存单,银行间,
112092565.IB,20华融湘江银行(防疫专项)CD008,2.8,2020-02-20,,湖南省,华融湘江银行股份有限公司,金融,,同业存单,银行间,
112092563.IB,20长沙农商银行(防疫专项)CD006,3.1,2020-02-20,,湖南省,长沙农村商业银行股份有限公司,金融,,同业存单,银行间,
112092560.IB,20泉州银行(防疫专项)CD003,2.95,2020-02-20,,福建省,泉州银行股份有限公司,金融,,同业存单,银行间,
166108.SH,20沪唐D1,3.9,2020-02-20,"海通证券股份有限公司,方正证券承销保荐有限责任公司,中国国际金融股份有限公司,中信建投证券股份有限公司",上海,上海大唐融资租赁有限公司,金融,本期债券发行总额不超过10亿元（含10亿元），结合本期债券发行时间，发行人拟将本次非公开发行公司债券的募集资金，在扣除发行费用后拟用于偿还公司债务及补充流动资金。,私募债,上海,
112092561.IB,20仙游县农联社(防疫专项)CD001,3,2020-02-20,,福建省,仙游县农村信用合作联社,金融,,同业存单,银行间,
032000112.IB,20黄石城投(疫情防控债)PPN001,4.2,2020-02-20,"上海浦东发展银行股份有限公司,广发银行股份有限公司",湖北省,黄石市城市建设投资开发有限责任公司,金融,,定向工具,银行间,
082000068.IB,20优行绿色(疫情防控债)ABN001优先02,3.4,2020-02-20,,浙江省,杭州优行科技有限公司,信息技术,,交易商协会ABN,银行间,
082000069.IB,20优行绿色(疫情防控债)ABN001次,--,2020-02-20,,浙江省,杭州优行科技有限公司,信息技术,,交易商协会ABN,银行间,
112018053.IB,20华夏银行(防疫专项)CD053,2.4,2020-02-20,,北京,华夏银行股份有限公司,金融,,同业存单,银行间,
112005002.IB,20建设银行(防疫专项)CD002,2.2,2020-02-20,,北京,中国建设银行股份有限公司,金融,,同业存单,银行间,
112004001.IB,20中国银行(防疫专项)CD001,2.2,2020-02-20,,北京,中国银行股份有限公司,金融,,同业存单,银行间,
112020014.IB,20广发银行(防疫专项)CD014,2.2,2020-02-20,,广东省,广发银行股份有限公司,金融,,同业存单,银行间,
112020013.IB,20广发银行(防疫专项)CD013,2.4,2020-02-20,,广东省,广发银行股份有限公司,金融,,同业存单,银行间,
112011054.IB,20平安银行(防疫专项)CD054,2.2,2020-02-20,,广东省,平安银行股份有限公司,金融,,同业存单,银行间,
112014020.IB,20江苏银行(防疫专项)CD020,2.28,2020-02-20,,江苏省,江苏银行股份有限公司,金融,,同业存单,银行间,
112092562.IB,20鄞州银行(防疫专项)CD008,2.58,2020-02-20,,浙江省,宁波鄞州农村商业银行股份有限公司,金融,,同业存单,银行间,
082000067.IB,20优行绿色(疫情防控债)ABN001优先01,3.1,2020-02-20,,浙江省,杭州优行科技有限公司,信息技术,,交易商协会ABN,银行间,
112010067.IB,20兴业银行(防疫专项)CD067,2.2,2020-02-20,,福建省,兴业银行股份有限公司,金融,,同业存单,银行间,
112092559.IB,20北京农商银行(防疫专项)CD031,2.3,2020-02-20,,北京,北京农村商业银行股份有限公司,金融,,同业存单,银行间,
163996.SH,20象屿Y1,4.03,2020-02-19,"华福证券有限责任公司,兴业证券股份有限公司,平安证券股份有限公司",福建省,厦门象屿集团有限公司,工业,本期债券基础发行规模为人民币5亿元，可超额配售不超过人民币15亿元（含15亿元），募集资金扣除发行费用后，拟全部用于补充营运资金，其中不低于10%用于湖北省、浙江省、广东省、湖南省农产品及其他产品供应链业务，包括但不限于采购农产品面向受疫情影响地区企业或居民销售。,一般公司债,上海,AAA
166120.SH,20苏金01,4.28,2020-02-19,东吴证券股份有限公司,江苏省,苏州金合盛控股有限公司,,"本期债券发行为第一期，发行规模为不超过10,000万元，拟全部用于补充流动资金，专项用于对疫情防控领域企业开展债权业务（包括但不限于小贷、担保、保理业务）。",私募债,上海,
012000447.IB,20华邦健康(疫情防控债)SCP001,5,2020-02-19,中国民生银行股份有限公司,重庆,华邦生命健康股份有限公司,材料,"本次超短期融资券募集资金3亿元,其中7500万元用于偿还发行人将到期的债务融资工具,2.25亿元用于子公司重庆华邦制药有限公司采购与生产抗击新型冠状病毒有关的药品原材料.",超短期融资债券,银行间,
012000443.IB,20华锦股份(疫情防控债)SCP001,2.7,2020-02-19,"国泰君安证券股份有限公司,广发银行股份有限公司",辽宁省,北方华锦化学工业股份有限公司,能源,"本期超短期融资券基础发行规模为5亿元,发行规模上限为10亿元,全部用于补充流动资金.",超短期融资债券,银行间,
149040.SZ,20深铁01,3.05,2020-02-19,"中信建投证券股份有限公司,光大证券股份有限公司,平安证券股份有限公司,国信证券股份有限公司",广东省,深圳市地铁集团有限公司,工业,本期债券发行规模为不超过人民币30亿元（含30亿元）。根据发行人的财务状况和资金需求情况，本期债券募集资金在扣除发行费用后，不低于10%金额拟用于补充流动资金，包括但不限于用于置换前期防疫支出、防疫物资的购买、测温、安检、空间车厢消毒等在内的地铁公共出行疫情防控部署，保障公共交通安全、维持地铁正常营运生产及补充受疫情影响减免租金导致上盖物业板块流动资金需求，剩余部分用于疫情期间公司有息债务的偿还。,一般公司债,深圳,AAA
163997.SH,20象屿Y2,4.35,2020-02-19,"兴业证券股份有限公司,华福证券有限责任公司,平安证券股份有限公司",福建省,厦门象屿集团有限公司,工业,本期债券基础发行规模为人民币5亿元，可超额配售不超过人民币15亿元（含15亿元），募集资金扣除发行费用后，拟全部用于补充营运资金，其中不低于10%用于湖北省、浙江省、广东省、湖南省农产品及其他产品供应链业务，包括但不限于采购农产品面向受疫情影响地区企业或居民销售。,一般公司债,上海,AAA
012000444.IB,20东航(疫情防控债)SCP002,1.65,2020-02-19,中国农业银行股份有限公司,上海,中国东方航空集团有限公司,工业,"本次超短期融资券募集资金20亿元,其中2亿元用于补充本部及其子公司与疫情相关的日常运营资金周转,18亿元用于归还金融机构贷款.",超短期融资债券,银行间,
112006025.IB,20交通银行(防疫专项)CD025,2.2,2020-02-19,,上海,交通银行股份有限公司,金融,,同业存单,银行间,
012000446.IB,20兴发(疫情防控债)SCP001,3.7,2020-02-19,中国工商银行股份有限公司,湖北省,湖北兴发化工集团股份有限公司,材料,"发行人本次发行5亿超短期融资券募集资金,其中:0.5亿元用于补充与防疫新型冠状病毒肺炎相关的流动资金,4.50亿元用于偿还发行人及子公司银行借款",超短期融资债券,银行间,
012000442.IB,20宝钢(疫情防控债)SCP002,1.8,2020-02-19,上海浦东发展银行股份有限公司,上海,宝山钢铁股份有限公司,材料,"发行人本次发行超短期融资券20亿元,其中2亿元拟用于发行人及其子公司用于补充因抗击疫情带来的营运资金需求,18亿元用于归还发行人有息负债.",超短期融资债券,银行间,
112005001.IB,20建设银行(防疫专项)CD001,2.2,2020-02-19,,北京,中国建设银行股份有限公司,金融,,同业存单,银行间,
112007033.IB,20招商银行(防疫专项)CD033,2.5,2020-02-19,,广东省,招商银行股份有限公司,金融,,同业存单,银行间,
012000466.IB,20天业(疫情防控债)SCP001,3.06,2020-02-19,国家开发银行,新疆维吾尔自治区,新疆天业(集团)有限公司,材料,"为优化负债结构,降低公司短期偿债压力,打赢当前疫情防控阻击战,发行人本期发行5亿元超短期融资券,4亿元用于偿还到期债务融资工具(17天业MTN001),1亿元用于补充流动资金,其中0.5亿元用于补充下属子公司与疫情防控相关的流动资金.",超短期融资债券,银行间,
102000143.IB,20四川投资(疫情防控债)MTN001,3.18,2020-02-19,"招商银行股份有限公司,中国工商银行股份有限公司",四川省,四川省投资集团有限责任公司,金融,"发行人本期中期票据募集资金一是用于偿还发行人存量融资,金额共计85,000.00万元,二是用于在疫情期间,子公司川投气电公司应四川省发改委,四川省能源局和四川省经济和信息化厅的要求,为保证全省防疫应急指挥中心,疾控中心,定点医疗机构等疫情防控和救治的重要场所以及重点物资生产企业的供电所产生的燃气原材料采购费用,金额共计15,000.00万元",一般中期票据,银行间,AAA
012000441.IB,20云南农垦(疫情防控债)SCP001,5.19,2020-02-19,"中信银行股份有限公司,中信建投证券股份有限公司",云南省,云南农垦集团有限责任公司,材料,"本期发行超短期融资券募集资金总额为4亿元人民币,其中1亿元用于抗击新型冠状病毒肺炎疫情所需流动资金",超短期融资债券,银行间,
012000418.IB,20赣建工(疫情防控债)SCP001,5.1,2020-02-18,"招商银行股份有限公司,中国建设银行股份有限公司",江西省,江西省建工集团有限责任公司,工业,"本期超短期融资券发行规模6.0亿元,其中1.00亿元用于补充新型冠状病毒肺炎疫情防控相关的流动资金,5.00亿元用于偿还公司有息债务.",超短期融资债券,银行间,
102000132.IB,20鄂联投(疫情防控债)MTN001,4.56,2020-02-18,"浙商银行股份有限公司,海通证券股份有限公司",湖北省,湖北省联合发展投资集团有限公司,工业,"本期中期票据注册20亿元,首期发行10亿元,拟用于防疫设施抢建工程,湖北省疫情防控信息系统构建,偿还金融机构借款和债务融资工具本息,以及补充流动资金.",一般中期票据,银行间,AAA
012000415.IB,20闽东百(疫情防控债)SCP001,4.7,2020-02-18,厦门银行股份有限公司,福建省,福建东百集团股份有限公司,可选消费,"本期募集资金用于福建东百集团股份有限公司本部支持疫情防控,商贸采购等并补充流动资金",超短期融资债券,银行间,
012000414.IB,20厦门航空(疫情防控债)SCP005,2.3,2020-02-18,"中国工商银行股份有限公司,中国银行股份有限公司",福建省,厦门航空有限公司,工业,"本期超短期融资券的募集资金用途,0.4亿元用于支持疫情防控,补充本部及子公司营运资金,3.60亿元用于补充本部及子公司其他营运资金",超短期融资债券,银行间,
166117.SH,20绍交01,3.55,2020-02-18,国信证券股份有限公司,浙江省,绍兴市交通投资集团有限公司,工业,本期债券发行规模不超过14亿元，募集资金扣除发行费用后将用于偿还公司债务及新型冠状病毒肺炎疫情防控补充流动资金，其中疫情防控补充流动资金拟使用1.5亿元。,私募债,上海,AAA
012000417.IB,20韵达股份(疫情防控债)SCP001,2.99,2020-02-18,招商银行股份有限公司,浙江省,韵达控股股份有限公司,工业,"根据发行人的财务状况和资金需求情况,拟发行超短期融资券1亿元.其中0.5亿元用于偿还发行人及下属子公司有息负债.发行人计划用0.5亿元募集资金支持疫情防控,补充营运资金.",超短期融资债券,银行间,
149039.SZ,20国投Y1,3.38,2020-02-18,"广发证券股份有限公司,安信证券股份有限公司",北京,国家开发投资集团有限公司,工业,"本期债券募集资金扣除发行费用后,不少于1亿元拟用于子公司国投生物科技投资有限公司开展酒精生产业务,支持防控新型冠状病毒感染肺炎疫情,剩余部分用于补充流动资金.",一般公司债,深圳,AAA
